track_name,track_id,track_popularity,album_name,album_id,album_artists_name,album_artists_ids,album_release_date,track_artists_name,track_artists_ids,is_track_artists_multiple,is_album_artists_multiple,played_at
とんぼ,0ZoTz6KpGZuCRiZqeC4HnO,45,とんぼ,4yPkvtIGQdtsMzaEE8rxiH,長渕剛,5hHNaYRpbcz1qo09jeVcg8,1988-10-26,長渕剛,5hHNaYRpbcz1qo09jeVcg8,false,false,2021-08-24 17:34:17
とんぼ,0ZoTz6KpGZuCRiZqeC4HnO,45,とんぼ,4yPkvtIGQdtsMzaEE8rxiH,長渕剛,5hHNaYRpbcz1qo09jeVcg8,1988-10-26,長渕剛,5hHNaYRpbcz1qo09jeVcg8,false,false,2021-08-24 03:24:35
Success,0YVEguA9nQcBRN2bhyBmfl,16,TRY AGAIN,09Far3b0cRGpjzLVPysxve,長渕剛,5hHNaYRpbcz1qo09jeVcg8,2010-01-01,長渕剛,5hHNaYRpbcz1qo09jeVcg8,false,false,2021-08-24 03:23:40
Success,0YVEguA9nQcBRN2bhyBmfl,16,TRY AGAIN,09Far3b0cRGpjzLVPysxve,長渕剛,5hHNaYRpbcz1qo09jeVcg8,2010-01-01,長渕剛,5hHNaYRpbcz1qo09jeVcg8,false,false,2021-08-24 03:17:36
一休さん,27LlzfWH8D2eQeSNWHhfOj,29,SUPERMAN,1fJIOdiKdo6EXtNzW2PQqV,水曜日のカンパネラ,0bp9CvkjQYhUJvWRHjFRWI,2017-02-08,水曜日のカンパネラ,0bp9CvkjQYhUJvWRHjFRWI,false,false,2021-08-24 03:16:59
POOL SIDE,6EjWKQWwtABC85GLxNxBZr,43,POOL SIDE,0Tk7VHeGpMtIsh69xdMyAQ,Mall Boyz,4frHeZ2ummtLwkuV7QohYp,2021-08-18,"Mall Boyz, Tohji, gummyboy","4frHeZ2ummtLwkuV7QohYp, 7j7kL8K4GE1z5Cdxl7ucBF, 3jk0CePj2VdhqGpN0GX6pd",false,true,2021-08-24 03:12:59
Copenhagen,4sfp9NrkqDRKoG7M7KfJKw,22,vivid,0zzJw6iyhzOghtD1GQTsxE,kiki vivi lily,5D21ZneiMBeuS22kVg2sxE,2019-06-26,kiki vivi lily,5D21ZneiMBeuS22kVg2sxE,false,false,2021-08-24 03:09:47
おやすみ泣き声、さよなら歌姫,0TjUOvMQMfZVE2IsTCr0iw,43,クリープハイプ名作選,4Cu7Ew3SFvY1m2qle4yRyq,クリープハイプ,6POfB0fHdzXFLWL3RHxLv8,2014-03-12,クリープハイプ,6POfB0fHdzXFLWL3RHxLv8,false,false,2021-08-24 03:06:03
恋の煙,4PS2vvzNpeRH4UU0QHYVGZ,29,チャットモンチー BEST〜2005-2011〜,5AmFBptKbg5oQKSCHkwjhA,チャットモンチー,0GtBUVp1cWdIUKwm2GHTHc,2005,チャットモンチー,0GtBUVp1cWdIUKwm2GHTHc,false,false,2021-08-24 03:02:05
ALICE feat. Smrtdeath,1l4U7aYnrdUIMQx0hr3MIM,23,ALICE feat. Smrtdeath,6sF9tVj3x9IAZJBjjpkt3F,"4s4ki, Smrtdeath","5yCWuaBlu42BKsnW89brND, 4NYeChhB65zL0ywl4rHmSk",2021-06-04,"4s4ki, Smrtdeath","5yCWuaBlu42BKsnW89brND, 4NYeChhB65zL0ywl4rHmSk",true,true,2021-08-24 02:58:49
Tokyo 2pm 36 Floor,2f2pcXcjitlMClP5dl5CzN,15,I Wanna Go To Hawaii,4Lk5nqw9oM2OXyB9DbUbd0,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,2011-02-09,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,false,false,2021-08-24 02:56:28
君をピカソの目でみたら,0bcv0Kc3gNs5LgDw5OFZnH,14,君をピカソの目でみたら,0ck2MoXnBCTAFsRJiT5sbR,SHE IS SUMMER,6w4a2nebeBTxlemKtd2B4g,2019-02-20,SHE IS SUMMER,6w4a2nebeBTxlemKtd2B4g,false,false,2021-08-24 02:53:46
才能なんかいらない,31d2Dcn2yn5Sd1cXHWtbhX,13,1,1BOl5a61JY9FgNHbBe8RNZ,ドレスコーズ,2qmqi8B4pdSyjBc7lNBBiO,2014-12-10,ドレスコーズ,2qmqi8B4pdSyjBc7lNBBiO,false,false,2021-08-24 02:49:56
好きよ 好きよ 好きよ,4tE1JHzU5WTOVMXFFC1YKJ,31,PLAY,4olkw87r0L1TGTET9o3min,藤原さくら,5tvnQkP9zNAqYW2YKYk1Et,2017-05-10,藤原さくら,5tvnQkP9zNAqYW2YKYk1Et,false,false,2021-08-24 02:45:07
夢灯籠,7swTJOnvm3zEg7QdmJs52T,52,君の名は。,4KtMINeVjpDPdf7CsJSFZl,RADWIMPS,1EowJ1WwkMzkCkRomFhui7,2016-08-24,RADWIMPS,1EowJ1WwkMzkCkRomFhui7,false,false,2021-08-24 02:39:56
Girl A,75vn22e6vWtXWf1s97ftYM,36,EXIST!,0rMrVHGwTYqSkLLbrriDiD,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,2016-11-09,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,false,false,2021-08-24 02:37:47
記憶の海,0vLa4iJTkZxfvDO5je4v7v,37,Grower,4TapnJaH5MhqK5Jn7jt3eS,Awesome City Club,7jGn8qhLb48n7yMMNfAoHv,2021-02-10,Awesome City Club,7jGn8qhLb48n7yMMNfAoHv,false,false,2021-08-24 02:34:52
ランデヴー,4meTJAohdZYpWeHMOCSibq,30,ブルーポップは鳴りやまない,1vOK2rF2bQL4jDXFSv4UQf,三月のパンタシア,5WmX340gDNLIAyUcg4MzWN,2020-09-30,三月のパンタシア,5WmX340gDNLIAyUcg4MzWN,false,false,2021-08-24 02:30:12
駆け抜けて性春,6AYXmm1DLDHAW10a9QwiC2,33,君と僕の第三次世界大戦的恋愛革命,0xMqZoa9JrM6pwVW7jQBu8,銀杏BOYZ,2dP0aHVXt8dDPCw5d2Jw0m,2005,銀杏BOYZ,2dP0aHVXt8dDPCw5d2Jw0m,false,false,2021-08-24 02:26:22
爽健美茶のラップ,7ALkpuavOZN3vzaQVsJogk,34,Fishing,4AH4mit2y1i7UgaRkGIfch,chelmico,6sAONleCsmAyP87OHsVAPV,2019-08-21,chelmico,6sAONleCsmAyP87OHsVAPV,false,false,2021-08-24 02:20:56
ミエナイチカラ ~INVISIBLE ONE~,2oqVNoriNXo0qCkJ6VhFcN,24,B'z The Best XXV 1988-1998,4ogJfWDwFCNG89Hu6LOGlD,B'z,7i9bNUSGORP5MIgrii3cJc,2013-06-12,B'z,7i9bNUSGORP5MIgrii3cJc,false,false,2021-08-24 02:17:29
マリーゴールド,03V9Ypl9txWAY06UUirSJE,36,マリーゴールド,2VwFQwFEykGJ3AMJ6A97oQ,あいみょん,5kVZa4lFUmAQlBogl1fkd6,2018-08-08,あいみょん,5kVZa4lFUmAQlBogl1fkd6,false,false,2021-08-24 02:12:51
moniko,2N3fX1N3mu3BWhiOatAm6K,18,おまえのドリームランド,2XACmh9AJxGuqeJZAGF3BT,4s4ki,5yCWuaBlu42BKsnW89brND,2020-04-22,"4s4ki, Anatomia, maeshima soshi","5yCWuaBlu42BKsnW89brND, 6Z1HtspqYAiRQ0oQxr2v63, 4O49GHbECmNppFvzK0WZXf",false,true,2021-08-24 02:07:43
escape from,6ag07eoePynhhq6Go6SouG,17,超怒猫仔/Hyper Angry Cat,4o9MoBUqFRJctQU8OXHcr4,4s4ki,5yCWuaBlu42BKsnW89brND,2020-12-16,4s4ki,5yCWuaBlu42BKsnW89brND,false,false,2021-08-24 02:03:35
Lily,0pCSwu4O2iLDEcOSCV5Jgo,18,1,1BOl5a61JY9FgNHbBe8RNZ,ドレスコーズ,2qmqi8B4pdSyjBc7lNBBiO,2014-12-10,ドレスコーズ,2qmqi8B4pdSyjBc7lNBBiO,false,false,2021-08-24 02:00:15
